policy,scene_id,seed,full_run_id,command_only_run_id,full_audit_valid,command_only_audit_valid,full_route_contract_ok,command_only_route_contract_ok,metrics_present,full_progress,command_only_progress,delta_progress,full_progress_rel,command_only_progress_rel,delta_progress_rel,full_offroad,command_only_offroad,delta_offroad,full_collision_any,command_only_collision_any,delta_collision_any,full_plan_deviation,command_only_plan_deviation,delta_plan_deviation,full_dist_to_gt_trajectory,command_only_dist_to_gt_trajectory,delta_dist_to_gt_trajectory
route_following,clipgt-01d503d4-449b-46fc-8d78-9085e70d3554,17,semantic_ablation_route_following_clipgt-01d503d4-449b-46fc-8d78-9085e70d3554_17_full_contract,semantic_ablation_route_following_clipgt-01d503d4-449b-46fc-8d78-9085e70d3554_17_command_only_route,true,false,true,false,true,0.16,0.16,0,0.65,0.65,0,0,0,0,1,1,0,0.06,0.06,0,,,
route_following,clipgt-01d503d4-449b-46fc-8d78-9085e70d3554,29,semantic_ablation_route_following_clipgt-01d503d4-449b-46fc-8d78-9085e70d3554_29_full_contract,semantic_ablation_route_following_clipgt-01d503d4-449b-46fc-8d78-9085e70d3554_29_command_only_route,true,false,true,false,true,0.16,0.16,0,0.65,0.65,0,0,0,0,1,1,0,0.06,0.06,0,,,
route_following,clipgt-01d503d4-449b-46fc-8d78-9085e70d3554,43,semantic_ablation_route_following_clipgt-01d503d4-449b-46fc-8d78-9085e70d3554_43_full_contract,semantic_ablation_route_following_clipgt-01d503d4-449b-46fc-8d78-9085e70d3554_43_command_only_route,true,false,true,false,true,0.16,0.16,0,0.65,0.65,0,0,0,0,1,1,0,0.06,0.06,0,,,
route_following,clipgt-02e075b9-fd24-426b-971b-7cfcb2074cc9,17,semantic_ablation_route_following_clipgt-02e075b9-fd24-426b-971b-7cfcb2074cc9_17_full_contract,semantic_ablation_route_following_clipgt-02e075b9-fd24-426b-971b-7cfcb2074cc9_17_command_only_route,true,false,true,false,true,0.47,0.51,-0.04,0.81,0.83,-0.02,0,0,0,1,1,0,0.15,0.13,0.02,,,
route_following,clipgt-02e075b9-fd24-426b-971b-7cfcb2074cc9,29,semantic_ablation_route_following_clipgt-02e075b9-fd24-426b-971b-7cfcb2074cc9_29_full_contract,semantic_ablation_route_following_clipgt-02e075b9-fd24-426b-971b-7cfcb2074cc9_29_command_only_route,true,false,true,false,true,0.47,0.51,-0.04,0.81,0.83,-0.02,0,0,0,1,1,0,0.15,0.13,0.02,,,
route_following,clipgt-02e075b9-fd24-426b-971b-7cfcb2074cc9,43,semantic_ablation_route_following_clipgt-02e075b9-fd24-426b-971b-7cfcb2074cc9_43_full_contract,semantic_ablation_route_following_clipgt-02e075b9-fd24-426b-971b-7cfcb2074cc9_43_command_only_route,true,false,true,false,true,0.47,0.51,-0.04,0.81,0.83,-0.02,0,0,0,1,1,0,0.15,0.13,0.02,,,
route_following,clipgt-048b974e-1546-488a-b8f9-d32bff77f5aa,17,semantic_ablation_route_following_clipgt-048b974e-1546-488a-b8f9-d32bff77f5aa_17_full_contract,semantic_ablation_route_following_clipgt-048b974e-1546-488a-b8f9-d32bff77f5aa_17_command_only_route,true,false,true,false,true,0.17,0.86,-0.69,0.9,0.86,0.04,0,0,0,1,0,1,1.11,0.07,1.04,,,
route_following,clipgt-048b974e-1546-488a-b8f9-d32bff77f5aa,29,semantic_ablation_route_following_clipgt-048b974e-1546-488a-b8f9-d32bff77f5aa_29_full_contract,semantic_ablation_route_following_clipgt-048b974e-1546-488a-b8f9-d32bff77f5aa_29_command_only_route,true,false,true,false,true,0.17,0.86,-0.69,0.9,0.86,0.04,0,0,0,1,0,1,1.11,0.07,1.04,,,
route_following,clipgt-048b974e-1546-488a-b8f9-d32bff77f5aa,43,semantic_ablation_route_following_clipgt-048b974e-1546-488a-b8f9-d32bff77f5aa_43_full_contract,semantic_ablation_route_following_clipgt-048b974e-1546-488a-b8f9-d32bff77f5aa_43_command_only_route,true,false,true,false,true,0.17,0.86,-0.69,0.9,0.86,0.04,0,0,0,1,0,1,1.11,0.07,1.04,,,
