run_id,matrix,policy,scene_id,seed,adapter_config,status,attempted,completed,blocked,failure_layer,failure_code,detail,claim_valid,expected_layer,observed_layer,expected_code,observed_code,detected,correctly_localized,service_survived,late_message_count
lifecycle_stress_constant_velocity_17_strict_or_pre_hardening_behavior_cycle01,lifecycle_stress,constant_velocity,synthetic_lifecycle_harness,17,strict_or_pre_hardening_behavior,completed,true,true,false,lifecycle,duplicate_close_unhandled,Synthetic pre-hardening service stopped on duplicate close before late events.,false,lifecycle,lifecycle,late_events_classified,duplicate_close_unhandled,true,false,false,1
lifecycle_stress_constant_velocity_17_strict_or_pre_hardening_behavior_cycle02,lifecycle_stress,constant_velocity,synthetic_lifecycle_harness,17,strict_or_pre_hardening_behavior,completed,true,true,false,lifecycle,duplicate_close_unhandled,Synthetic pre-hardening service stopped on duplicate close before late events.,false,lifecycle,lifecycle,late_events_classified,duplicate_close_unhandled,true,false,false,1
lifecycle_stress_constant_velocity_17_strict_or_pre_hardening_behavior_cycle03,lifecycle_stress,constant_velocity,synthetic_lifecycle_harness,17,strict_or_pre_hardening_behavior,completed,true,true,false,lifecycle,duplicate_close_unhandled,Synthetic pre-hardening service stopped on duplicate close before late events.,false,lifecycle,lifecycle,late_events_classified,duplicate_close_unhandled,true,false,false,1
lifecycle_stress_constant_velocity_17_strict_or_pre_hardening_behavior_cycle04,lifecycle_stress,constant_velocity,synthetic_lifecycle_harness,17,strict_or_pre_hardening_behavior,completed,true,true,false,lifecycle,duplicate_close_unhandled,Synthetic pre-hardening service stopped on duplicate close before late events.,false,lifecycle,lifecycle,late_events_classified,duplicate_close_unhandled,true,false,false,1
lifecycle_stress_constant_velocity_17_strict_or_pre_hardening_behavior_cycle05,lifecycle_stress,constant_velocity,synthetic_lifecycle_harness,17,strict_or_pre_hardening_behavior,completed,true,true,false,lifecycle,duplicate_close_unhandled,Synthetic pre-hardening service stopped on duplicate close before late events.,false,lifecycle,lifecycle,late_events_classified,duplicate_close_unhandled,true,false,false,1
lifecycle_stress_constant_velocity_17_strict_or_pre_hardening_behavior_cycle06,lifecycle_stress,constant_velocity,synthetic_lifecycle_harness,17,strict_or_pre_hardening_behavior,completed,true,true,false,lifecycle,duplicate_close_unhandled,Synthetic pre-hardening service stopped on duplicate close before late events.,false,lifecycle,lifecycle,late_events_classified,duplicate_close_unhandled,true,false,false,1
lifecycle_stress_constant_velocity_17_strict_or_pre_hardening_behavior_cycle07,lifecycle_stress,constant_velocity,synthetic_lifecycle_harness,17,strict_or_pre_hardening_behavior,completed,true,true,false,lifecycle,duplicate_close_unhandled,Synthetic pre-hardening service stopped on duplicate close before late events.,false,lifecycle,lifecycle,late_events_classified,duplicate_close_unhandled,true,false,false,1
lifecycle_stress_constant_velocity_17_strict_or_pre_hardening_behavior_cycle08,lifecycle_stress,constant_velocity,synthetic_lifecycle_harness,17,strict_or_pre_hardening_behavior,completed,true,true,false,lifecycle,duplicate_close_unhandled,Synthetic pre-hardening service stopped on duplicate close before late events.,false,lifecycle,lifecycle,late_events_classified,duplicate_close_unhandled,true,false,false,1
lifecycle_stress_constant_velocity_17_strict_or_pre_hardening_behavior_cycle09,lifecycle_stress,constant_velocity,synthetic_lifecycle_harness,17,strict_or_pre_hardening_behavior,completed,true,true,false,lifecycle,duplicate_close_unhandled,Synthetic pre-hardening service stopped on duplicate close before late events.,false,lifecycle,lifecycle,late_events_classified,duplicate_close_unhandled,true,false,false,1
lifecycle_stress_constant_velocity_17_strict_or_pre_hardening_behavior_cycle10,lifecycle_stress,constant_velocity,synthetic_lifecycle_harness,17,strict_or_pre_hardening_behavior,completed,true,true,false,lifecycle,duplicate_close_unhandled,Synthetic pre-hardening service stopped on duplicate close before late events.,false,lifecycle,lifecycle,late_events_classified,duplicate_close_unhandled,true,false,false,1
lifecycle_stress_constant_velocity_17_strict_or_pre_hardening_behavior_cycle11,lifecycle_stress,constant_velocity,synthetic_lifecycle_harness,17,strict_or_pre_hardening_behavior,completed,true,true,false,lifecycle,duplicate_close_unhandled,Synthetic pre-hardening service stopped on duplicate close before late events.,false,lifecycle,lifecycle,late_events_classified,duplicate_close_unhandled,true,false,false,1
lifecycle_stress_constant_velocity_17_strict_or_pre_hardening_behavior_cycle12,lifecycle_stress,constant_velocity,synthetic_lifecycle_harness,17,strict_or_pre_hardening_behavior,completed,true,true,false,lifecycle,duplicate_close_unhandled,Synthetic pre-hardening service stopped on duplicate close before late events.,false,lifecycle,lifecycle,late_events_classified,duplicate_close_unhandled,true,false,false,1
lifecycle_stress_constant_velocity_17_strict_or_pre_hardening_behavior_cycle13,lifecycle_stress,constant_velocity,synthetic_lifecycle_harness,17,strict_or_pre_hardening_behavior,completed,true,true,false,lifecycle,duplicate_close_unhandled,Synthetic pre-hardening service stopped on duplicate close before late events.,false,lifecycle,lifecycle,late_events_classified,duplicate_close_unhandled,true,false,false,1
lifecycle_stress_constant_velocity_17_strict_or_pre_hardening_behavior_cycle14,lifecycle_stress,constant_velocity,synthetic_lifecycle_harness,17,strict_or_pre_hardening_behavior,completed,true,true,false,lifecycle,duplicate_close_unhandled,Synthetic pre-hardening service stopped on duplicate close before late events.,false,lifecycle,lifecycle,late_events_classified,duplicate_close_unhandled,true,false,false,1
lifecycle_stress_constant_velocity_17_strict_or_pre_hardening_behavior_cycle15,lifecycle_stress,constant_velocity,synthetic_lifecycle_harness,17,strict_or_pre_hardening_behavior,completed,true,true,false,lifecycle,duplicate_close_unhandled,Synthetic pre-hardening service stopped on duplicate close before late events.,false,lifecycle,lifecycle,late_events_classified,duplicate_close_unhandled,true,false,false,1
lifecycle_stress_constant_velocity_17_strict_or_pre_hardening_behavior_cycle16,lifecycle_stress,constant_velocity,synthetic_lifecycle_harness,17,strict_or_pre_hardening_behavior,completed,true,true,false,lifecycle,duplicate_close_unhandled,Synthetic pre-hardening service stopped on duplicate close before late events.,false,lifecycle,lifecycle,late_events_classified,duplicate_close_unhandled,true,false,false,1
lifecycle_stress_constant_velocity_17_strict_or_pre_hardening_behavior_cycle17,lifecycle_stress,constant_velocity,synthetic_lifecycle_harness,17,strict_or_pre_hardening_behavior,completed,true,true,false,lifecycle,duplicate_close_unhandled,Synthetic pre-hardening service stopped on duplicate close before late events.,false,lifecycle,lifecycle,late_events_classified,duplicate_close_unhandled,true,false,false,1
lifecycle_stress_constant_velocity_17_strict_or_pre_hardening_behavior_cycle18,lifecycle_stress,constant_velocity,synthetic_lifecycle_harness,17,strict_or_pre_hardening_behavior,completed,true,true,false,lifecycle,duplicate_close_unhandled,Synthetic pre-hardening service stopped on duplicate close before late events.,false,lifecycle,lifecycle,late_events_classified,duplicate_close_unhandled,true,false,false,1
lifecycle_stress_constant_velocity_17_strict_or_pre_hardening_behavior_cycle19,lifecycle_stress,constant_velocity,synthetic_lifecycle_harness,17,strict_or_pre_hardening_behavior,completed,true,true,false,lifecycle,duplicate_close_unhandled,Synthetic pre-hardening service stopped on duplicate close before late events.,false,lifecycle,lifecycle,late_events_classified,duplicate_close_unhandled,true,false,false,1
lifecycle_stress_constant_velocity_17_strict_or_pre_hardening_behavior_cycle20,lifecycle_stress,constant_velocity,synthetic_lifecycle_harness,17,strict_or_pre_hardening_behavior,completed,true,true,false,lifecycle,duplicate_close_unhandled,Synthetic pre-hardening service stopped on duplicate close before late events.,false,lifecycle,lifecycle,late_events_classified,duplicate_close_unhandled,true,false,false,1
